source,source_line,citation,cited_file,old_line,resolved_path,new_line,symbol,semantic_assertion,status,reason
dispatch,84,FranceChartOfAccountsSeeder.php:275-279,FranceChartOfAccountsSeeder.php,275-279,apps/api/database/seeders/FranceChartOfAccountsSeeder.php,283-287,aware,"aware anchors the cited behavior at `// 2052 line ""Achats de marchandises"" stays structurally 0.00. The P&L // TOTAL is correct; the FS/FT split is not the conventional PCG // presentation. Not a regression (TN behaves the same) and not a // blocker — but the expert must rule on the presentation before the // first liasse, not at filing. Register H-5 carr`",mapped,
dispatch,273,DocumentGenerationAdapter.php:199,DocumentGenerationAdapter.php,199,apps/api/app/Modules/Workshop/WorkOrder/Infrastructure/Adapters/DocumentGenerationAdapter.php,218,mapLine(),"mapLine() anchors the cited behavior at `'line_total' => $wol->line_total_incl_tax,`",mapped,
dispatch,423,ReturnScrapWriteOffService.php:209-213,ReturnScrapWriteOffService.php,209-213,apps/api/app/Modules/POS/Application/Services/ReturnScrapWriteOffService.php,209-213,writeOff(),"writeOff() anchors the cited behavior at `// Seal INSIDE this transaction (gate I1). The default afterCommit // path would post from a Horizon worker in autocommit, where the // per-company chain advisory lock is a no-op (duplicate // chain_sequence) and a post-commit throw would leave the entry // Draft forever — invisible to every trial balance.`",mapped,
dispatch,470,plan-wave3.md:2291-2299,plan-wave3.md,2291-2299,.superpowers/sdd/HANDOVER-document-per-action-remediation-2026-08-08/plan-wave3.md,2291-2299,"section 2.3 Detector command contract","section 2.3 Detector command contract anchors the cited behavior at `| # | Check | Shape | Catches | |---|---|---|---| | **D-a** | COGS-bearing movement **above the watermark**, `unit_cost` non-null/non-zero, `is_historical = false`, `occurred_at` older than a **2h grace window**, and no `journal_entries` row on `(source_type ∈ InventoryGlSourceTypes::ALL, source_id = movement.id)` | le`",mapped,
plan-sections-0-through-4,63,StandaloneReceiptService.php:134,StandaloneReceiptService.php,134,apps/api/app/Modules/Procurement/Application/StandaloneReceiptService.php,134,execute(),"execute() anchors the cited behavior at `? $this->goodsReceiptService->post($draft, $input->actorId, null, true)`",mapped,
plan-sections-0-through-4,101,app/Modules/Inventory/Application/Services/WeightedAverageCostService.php:50-53,app/Modules/Inventory/Application/Services/WeightedAverageCostService.php,50-53,apps/api/app/Modules/Inventory/Application/Services/WeightedAverageCostService.php,52-55,scale(),"scale() anchors the cited behavior at `private function scale(): int { return $this->scaleResolver->getScale(); }`",mapped,
plan-sections-0-through-4,104,app/Shared/Infrastructure/CurrencyScaleResolver.php:44-52,app/Shared/Infrastructure/CurrencyScaleResolver.php,44-52,apps/api/app/Shared/Infrastructure/CurrencyScaleResolver.php,44-52,getScale(),"getScale() anchors the cited behavior at `if ($company === null) { throw new UnboundCompanyContextException( 'CurrencyScaleResolver::getScale() called with no currency code and no CompanyContext bound. ' .'Ensure CompanyContextMiddleware is applied or pass an explicit $currencyCode. '`",mapped,
plan-sections-0-through-4,114,app/Modules/Inventory/Domain/Services/StockAdjustmentService.php:60,app/Modules/Inventory/Domain/Services/StockAdjustmentService.php,60,apps/api/app/Modules/Inventory/Domain/Services/StockAdjustmentService.php,60,StockAdjustmentService,"StockAdjustmentService anchors the cited behavior at `private const COST_SCALE = 6;`",mapped,
plan-sections-0-through-4,128,"tests/Unit/Inventory/AdjustmentReasonSignPartitionTest.php:95,103,104",tests/Unit/Inventory/AdjustmentReasonSignPartitionTest.php,"95,103,104",apps/api/tests/Unit/Inventory/AdjustmentReasonSignPartitionTest.php,95-104,test_every_manual_reason_requires_a_gl_entry_so_g1_can_pick_the_document_up(),"test_every_manual_reason_requires_a_gl_entry_so_g1_can_pick_the_document_up() anchors the cited behavior at `$this->assertTrue($reason->requiresGLEntry(), ""{$reason->value} must require a GL entry.""); } } public function test_adjustment_negative_is_the_cost_neutral_representation_and_write_off_is_not(): void`",mapped,
plan-sections-0-through-4,128,ReturnScrapWriteOffService.php:223,ReturnScrapWriteOffService.php,223,apps/api/app/Modules/POS/Application/Services/ReturnScrapWriteOffService.php,223,writeOff(),"writeOff() anchors the cited behavior at `// already declares requiresGLEntry() === true) — landing it alone`",mapped,
