method,uri,controller,action,middleware_permission,module_gate,controller_check_permissions,classification,notes
GET|HEAD,/api/v1/promotions,App\Modules\Promotion\Presentation\Controllers\PromotionController,index,,,controller:promotions.view,CONTROLLER,
POST,/api/v1/promotions,App\Modules\Promotion\Presentation\Controllers\PromotionController,store,,,formrequest[StorePromotionRequest]:CHECK:promotions.manage,FORMREQUEST,
GET|HEAD,/api/v1/promotions/{id},App\Modules\Promotion\Presentation\Controllers\PromotionController,show,,,controller:promotions.view,CONTROLLER,
PATCH,/api/v1/promotions/{id},App\Modules\Promotion\Presentation\Controllers\PromotionController,update,,,formrequest[UpdatePromotionRequest]:CHECK:promotions.manage,FORMREQUEST,
DELETE,/api/v1/promotions/{id},App\Modules\Promotion\Presentation\Controllers\PromotionController,destroy,,,,AUTH_ONLY,
POST,/api/v1/promotions/{id}/activate,App\Modules\Promotion\Presentation\Controllers\PromotionController,activate,,,,AUTH_ONLY,
POST,/api/v1/promotions/{id}/pause,App\Modules\Promotion\Presentation\Controllers\PromotionController,pause,,,,AUTH_ONLY,
POST,/api/v1/promotions/{id}/archive,App\Modules\Promotion\Presentation\Controllers\PromotionController,archive,,,,AUTH_ONLY,
GET|HEAD,/api/v1/settings/company,App\Modules\Tenant\Presentation\Controllers\CompanySettingsController,show,,,controller:settings.view,CONTROLLER,
PATCH,/api/v1/settings/company,App\Modules\Tenant\Presentation\Controllers\CompanySettingsController,update,settings.update,,controller:settings.fiscal.update | formrequest[UpdateCompanySettingsRequest]:CHECK:settings.update,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
POST,/api/v1/settings/company/logo,App\Modules\Tenant\Presentation\Controllers\CompanySettingsController,uploadLogo,settings.update,,formrequest[UploadLogoRequest]:CHECK:settings.update,MIDDLEWARE,also has a secondary controller/FormRequest/service-level check (defense in depth)
DELETE,/api/v1/settings/company/logo,App\Modules\Tenant\Presentation\Controllers\CompanySettingsController,deleteLogo,,,controller:settings.update,CONTROLLER,
GET|HEAD,/api/v1/onboarding/status,App\Modules\Tenant\Presentation\Controllers\OnboardingController,status,settings.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/accounts,App\Modules\Accounting\Presentation\Controllers\AccountController,index,accounts.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/accounts/{account},App\Modules\Accounting\Presentation\Controllers\AccountController,show,accounts.view,,,MIDDLEWARE,
POST,/api/v1/accounts,App\Modules\Accounting\Presentation\Controllers\AccountController,store,accounts.manage,,formrequest[CreateAccountRequest]:OPEN(returns true),MIDDLEWARE,
PATCH,/api/v1/accounts/{account},App\Modules\Accounting\Presentation\Controllers\AccountController,update,accounts.manage,,formrequest[UpdateAccountRequest]:OPEN(returns true),MIDDLEWARE,
GET|HEAD,/api/v1/journal-entries,App\Modules\Accounting\Presentation\Controllers\JournalEntryController,index,journal.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/journal-entries/{journalEntry},App\Modules\Accounting\Presentation\Controllers\JournalEntryController,show,journal.view,,,MIDDLEWARE,
POST,/api/v1/journal-entries,App\Modules\Accounting\Presentation\Controllers\JournalEntryController,store,journal.create,,formrequest[CreateJournalEntryRequest]:OPEN(returns true),MIDDLEWARE,
POST,/api/v1/journal-entries/{journalEntry}/post,App\Modules\Accounting\Presentation\Controllers\JournalEntryController,post,journal.post,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/accounts/purposes,App\Modules\Accounting\Presentation\Controllers\AccountPurposeController,index,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/accounts/purposes/validate,App\Modules\Accounting\Presentation\Controllers\AccountPurposeController,validate,accounts.manage,,,MIDDLEWARE,
PUT,/api/v1/companies/{companyId}/accounts/{accountId}/purpose,App\Modules\Accounting\Presentation\Controllers\AccountPurposeController,assignPurpose,accounts.manage,,,MIDDLEWARE,
DELETE,/api/v1/companies/{companyId}/accounts/{accountId}/purpose,App\Modules\Accounting\Presentation\Controllers\AccountPurposeController,removePurpose,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/partners/{partnerId}/balance,App\Modules\Accounting\Presentation\Controllers\PartnerBalanceController,show,accounts.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/partners/{partnerId}/statement,App\Modules\Accounting\Presentation\Controllers\PartnerBalanceController,statement,accounts.view,,,MIDDLEWARE,
POST,/api/v1/companies/{companyId}/partners/{partnerId}/balance/refresh,App\Modules\Accounting\Presentation\Controllers\PartnerBalanceController,refresh,accounts.manage,,,MIDDLEWARE,
POST,/api/v1/companies/{companyId}/partners/balance/refresh-all,App\Modules\Accounting\Presentation\Controllers\PartnerBalanceController,refreshAll,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/subledger/receivables,App\Modules\Accounting\Presentation\Controllers\PartnerBalanceController,receivables,accounts.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/subledger/payables,App\Modules\Accounting\Presentation\Controllers\PartnerBalanceController,payables,accounts.view,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/subledger/reconcile/{purpose},App\Modules\Accounting\Presentation\Controllers\PartnerBalanceController,reconcile,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/opening-batches/types,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,types,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/opening-batches,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,index,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/opening-batches/status,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,status,accounts.manage,,,MIDDLEWARE,
POST,/api/v1/companies/{companyId}/opening-batches,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,store,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/opening-batches/{batchId},App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,show,accounts.manage,,,MIDDLEWARE,
DELETE,/api/v1/companies/{companyId}/opening-batches/{batchId},App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,destroy,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/opening-batches/{batchId}/rows,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,rows,accounts.manage,,,MIDDLEWARE,
POST,/api/v1/companies/{companyId}/opening-batches/{batchId}/lock,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,lock,accounts.manage,,,MIDDLEWARE,
POST,/api/v1/companies/{companyId}/opening-batches/{batchId}/import,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,import,accounts.manage,,,MIDDLEWARE,
POST,/api/v1/companies/{companyId}/opening-batches/{batchId}/validate,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,validateBatch,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/companies/{companyId}/opening-batches/{batchId}/preview,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,preview,accounts.manage,,,MIDDLEWARE,
POST,/api/v1/companies/{companyId}/opening-batches/{batchId}/post,App\Modules\Accounting\Presentation\Controllers\OpeningBalanceBatchController,post,accounts.manage,,,MIDDLEWARE,
GET|HEAD,/api/v1/ledger,App\Modules\Accounting\Presentation\Controllers\LedgerController,index,ledger.view,,formrequest[GetLedgerRequest]:OPEN(returns true),MIDDLEWARE,
